地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/07/03,15:18:11.6,トカラ列島近海,29°20.1′N,129°28.4′E,9 km,4.6,震度４
2025/07/03,15:11:48.3,トカラ列島近海,29°20.5′N,129°25.8′E,21 km,4.8,震度４
2025/07/03,14:31:07.0,トカラ列島近海,29°18.4′N,129°30.7′E,19 km,4.6,震度４
2025/07/03,06:51:30.8,トカラ列島近海,29°20.0′N,129°29.1′E,17 km,4.5,震度４
2025/07/02,16:17:54.3,トカラ列島近海,29°13.8′N,129°06.2′E,4 km,5.0,震度４
2025/07/02,15:26:47.6,トカラ列島近海,29°15.4′N,129°03.1′E,1 km,5.6,震度５弱
2025/07/02,14:54:55.0,トカラ列島近海,29°13.3′N,129°04.9′E,1 km,不明,震度４
2025/07/02,14:53:24.2,トカラ列島近海,29°14.3′N,129°04.1′E,1 km,5.3,震度４
2025/07/02,14:22:16.3,トカラ列島近海,29°15.1′N,129°11.6′E,14 km,4.0,震度４
2025/07/02,09:14:29.5,トカラ列島近海,29°16.4′N,129°07.5′E,13 km,3.5,震度４
2025/07/02,09:09:59.3,トカラ列島近海,29°14.5′N,129°04.2′E,7 km,3.7,震度４
2025/07/02,09:06:46.8,トカラ列島近海,29°17.1′N,129°06.4′E,11 km,4.5,震度４
2025/07/02,04:32:08.3,トカラ列島近海,29°20.1′N,129°29.1′E,16 km,5.1,震度５弱
2025/07/01,20:22:07.1,トカラ列島近海,29°20.4′N,129°26.6′E,18 km,4.4,震度４
2025/07/01,17:10:27.3,トカラ列島近海,29°19.4′N,129°25.7′E,16 km,4.9,震度４
2025/07/01,06:49:48.0,トカラ列島近海,29°18.6′N,129°26.7′E,18 km,4.3,震度４
2025/06/30,18:33:22.8,トカラ列島近海,29°19.6′N,129°26.3′E,22 km,5.3,震度５弱
2025/06/30,12:36:19.5,トカラ列島近海,29°21.1′N,129°23.5′E,26 km,4.5,震度４
2025/06/29,16:56:00.1,トカラ列島近海,29°19.1′N,129°27.3′E,20 km,4.1,震度４
2025/06/29,16:11:57.6,トカラ列島近海,29°19.1′N,129°28.3′E,17 km,5.3,震度４
2025/06/29,10:15:25.3,トカラ列島近海,29°19.8′N,129°24.1′E,20 km,5.4,震度４
2025/06/25,13:51:27.4,茨城県沖,36°26.0′N,140°38.7′E,54 km,4.2,震度４
2025/06/24,16:04:14.1,トカラ列島近海,29°18.8′N,129°22.7′E,18 km,5.1,震度４
2025/06/24,02:23:28.8,トカラ列島近海,29°17.4′N,129°23.0′E,9 km,4.9,震度４
2025/06/23,23:36:19.1,トカラ列島近海,29°19.5′N,129°24.0′E,21 km,5.0,震度４
2025/06/23,00:15:08.9,トカラ列島近海,29°18.3′N,129°26.1′E,12 km,3.6,震度４
2025/06/22,17:15:02.7,トカラ列島近海,29°21.3′N,129°17.0′E,24 km,5.1,震度４
2025/06/22,12:12:24.6,トカラ列島近海,29°19.0′N,129°22.9′E,19 km,4.5,震度４
2025/06/19,08:08:07.4,根室半島南東沖,42°54.7′N,146°30.7′E,25 km,6.0,震度４
2025/06/02,03:51:54.3,十勝沖,41°42.9′N,143°43.1′E,27 km,6.1,震度４
2025/05/31,17:37:18.9,釧路沖,42°19.6′N,144°27.1′E,20 km,6.0,震度４
2025/05/29,15:28:58.8,岐阜県飛騨地方,36°03.8′N,137°17.0′E,12 km,4.5,震度４
2025/05/26,17:47:45.1,十勝地方南部,42°19.9′N,143°04.2′E,50 km,5.3,震度４
2025/05/23,06:28:01.1,浦河沖,41°51.2′N,142°41.0′E,53 km,5.4,震度４
2025/05/15,22:05:50.1,十勝地方中部,42°48.3′N,143°19.2′E,95 km,4.7,震度４
2025/04/19,01:02:36.6,長野県北部,36°28.8′N,137°54.2′E,12 km,4.3,震度４
2025/04/18,23:39:46.5,長野県北部,36°27.7′N,137°54.5′E,13 km,4.5,震度４
2025/04/18,20:19:28.6,長野県北部,36°28.1′N,137°54.8′E,13 km,5.1,震度５弱
2025/04/05,04:15:42.2,北海道南西沖,41°18.2′N,140°09.2′E,10 km,4.1,震度４
2025/04/02,23:03:58.8,大隅半島東方沖,31°02.7′N,131°31.3′E,36 km,6.1,震度４
2025/03/19,13:25:14.6,能登半島沖,37°06.9′N,136°38.4′E,6 km,4.7,震度４
2025/03/18,05:00:35.0,熊本県熊本地方,32°29.9′N,130°33.3′E,10 km,4.8,震度４
2025/03/09,03:54:05.1,奄美大島北東沖,28°42.0′N,130°15.0′E,62 km,5.8,震度４
2025/02/21,22:01:46.0,福島県沖,37°30.9′N,141°26.2′E,49 km,4.9,震度４
2025/01/23,08:09:03.0,福島県会津,36°58.5′N,139°22.7′E,3 km,4.7,震度４
2025/01/23,02:49:28.2,福島県会津,36°58.6′N,139°22.8′E,4 km,5.2,震度５弱
2025/01/15,02:12:38.8,日向灘,31°46.1′N,131°50.9′E,29 km,5.4,震度４
2025/01/13,21:19:32.8,日向灘,31°49.7′N,131°34.2′E,36 km,6.6,震度５弱
2024/12/28,04:10:05.0,福島県沖,37°20.6′N,141°34.8′E,43 km,5.3,震度４
2024/12/17,22:11:16.1,茨城県南部,36°14.2′N,140°06.3′E,54 km,4.2,震度４
2024/11/28,17:31:05.6,石川県西方沖,36°55.8′N,136°23.4′E,10 km,4.7,震度４
2024/11/26,22:47:02.8,石川県西方沖,37°00.5′N,136°23.8′E,7 km,6.6,震度５弱
2024/11/20,15:40:16.1,陸奥湾,41°02.1′N,141°03.6′E,10 km,5.1,震度４
2024/11/16,21:22:18.0,陸奥湾,41°02.0′N,141°04.7′E,8 km,4.6,震度４
2024/09/26,16:01:10.3,釧路沖,42°46.6′N,145°06.7′E,59 km,5.7,震度４
2024/09/24,22:09:08.5,留萌地方中北部,44°55.7′N,141°50.6′E,14 km,3.7,震度４
2024/09/20,21:22:19.2,豊後水道,33°16.0′N,132°18.9′E,41 km,4.7,震度４
2024/08/19,00:50:46.7,茨城県北部,36°43.0′N,140°37.2′E,8 km,5.1,震度５弱
2024/08/19,00:48:17.6,茨城県北部,36°43.4′N,140°37.5′E,7 km,4.8,震度４
2024/08/15,20:20:34.7,神奈川県西部,35°24.1′N,139°09.3′E,12 km,4.3,震度４
2024/08/09,19:57:38.2,神奈川県西部,35°24.6′N,139°09.6′E,13 km,5.3,震度５弱
2024/08/08,16:42:55.5,日向灘,31°44.2′N,131°43.3′E,31 km,7.1,震度６弱
2024/07/30,01:25:30.3,日向灘,32°08.8′N,131°36.6′E,48 km,5.1,震度４
2024/07/28,00:58:38.9,岩手県内陸北部,40°08.8′N,141°10.7′E,10 km,4.2,震度４
2024/07/19,14:27:47.0,岩手県内陸北部,40°08.6′N,141°10.6′E,10 km,4.0,震度４
2024/07/04,12:12:29.6,千葉県東方沖,35°12.5′N,140°27.8′E,49 km,5.2,震度４
2024/06/23,12:12:06.4,福島県沖,37°03.7′N,141°11.8′E,49 km,4.9,震度４
2024/06/03,06:40:20.6,石川県能登地方,37°27.8′N,137°20.8′E,14 km,5.0,震度４
2024/06/03,06:31:40.3,石川県能登地方,37°28.0′N,137°18.1′E,14 km,6.0,震度５強
2024/06/01,04:02:02.8,豊後水道,33°12.9′N,132°21.3′E,39 km,4.5,震度４
2024/05/31,04:46:44.0,熊本県熊本地方,32°35.0′N,130°38.8′E,13 km,4.7,震度４
2024/05/21,09:39:39.8,父島近海,26°14.3′N,141°29.6′E,52 km,5.6,震度４
2024/04/24,20:40:07.2,茨城県北部,36°26.9′N,140°36.9′E,55 km,5.1,震度４
2024/04/17,23:19:00.7,豊後水道,33°13.2′N,132°23.9′E,41 km,5.1,震度４
2024/04/17,23:14:48.7,豊後水道,33°12.0′N,132°24.5′E,39 km,6.6,震度６弱
2024/04/08,10:25:28.8,大隅半島東方沖,31°35.4′N,131°28.6′E,39 km,5.1,震度５弱
2024/04/04,12:16:30.2,福島県沖,37°43.8′N,141°51.7′E,44 km,6.3,震度４
2024/04/03,08:58:09.4,台湾付近,23°49.9′N,121°35.9′E,23 km,7.7,震度４
2024/04/02,04:24:39.0,岩手県沿岸北部,40°08.0′N,141°42.7′E,71 km,6.0,震度５弱
2024/03/23,08:31:48.7,岐阜県美濃中西部,35°40.9′N,136°37.8′E,14 km,4.6,震度４
2024/03/21,09:08:03.8,茨城県南部,36°02.9′N,139°53.2′E,46 km,5.3,震度５弱
2024/03/17,06:17:04.2,福島県沖,37°09.3′N,141°26.8′E,44 km,5.4,震度４
2024/03/15,19:32:50.4,奄美大島近海,28°29.6′N,130°12.1′E,40 km,5.6,震度４
2024/03/15,00:14:36.0,福島県沖,37°04.3′N,141°09.8′E,50 km,5.8,震度５弱
2024/03/13,20:24:42.7,福島県沖,37°05.6′N,141°07.8′E,51 km,4.7,震度４
2024/03/09,04:26:41.7,千葉県東方沖,35°23.4′N,140°25.2′E,28 km,4.4,震度４
2024/03/02,23:00:43.8,宮崎県北部平野部,32°26.1′N,131°31.4′E,13 km,4.3,震度４
2024/03/02,01:49:04.2,千葉県南部,35°18.9′N,140°20.8′E,26 km,5.0,震度４
2024/03/01,05:43:16.6,千葉県東方沖,35°26.1′N,140°33.0′E,31 km,5.3,震度４
2024/02/29,18:35:42.0,千葉県東方沖,35°23.7′N,140°33.2′E,27 km,4.9,震度４
2024/02/26,15:24:13.5,伊予灘,33°38.5′N,132°28.2′E,47 km,5.1,震度４
2024/02/14,15:29:00.4,京都府南部,35°03.2′N,135°33.3′E,12 km,4.4,震度４
2024/02/14,10:32:53.8,石川県能登地方,37°12.9′N,136°47.1′E,11 km,4.5,震度４
2024/02/11,12:35:59.4,石川県能登地方,37°26.0′N,137°10.6′E,15 km,4.7,震度４
2024/02/07,20:59:31.8,和歌山県北部,34°00.0′N,135°14.1′E,7 km,4.1,震度４
2024/02/07,06:08:15.1,佐渡付近,37°43.9′N,137°35.0′E,20 km,5.2,震度４
2024/01/28,08:59:29.1,東京湾,35°38.2′N,140°01.1′E,73 km,4.7,震度４
2024/01/26,14:40:04.0,能登半島沖,37°09.5′N,136°36.9′E,13 km,4.4,震度４
2024/01/19,07:06:08.6,能登半島沖,37°08.1′N,136°42.6′E,7 km,4.2,震度４
2024/01/19,03:04:39.1,石川県能登地方,37°22.2′N,137°00.6′E,11 km,4.4,震度４
2024/01/16,18:43:25.7,石川県能登地方,37°10.3′N,136°44.6′E,4 km,4.4,震度４
2024/01/16,18:42:15.8,石川県能登地方,37°11.1′N,136°45.1′E,3 km,4.8,震度５弱
2024/01/13,15:55:58.8,釧路地方北部,43°35.9′N,144°22.4′E,0 km,4.0,震度４
2024/01/13,04:04:30.3,石川県能登地方,37°10.1′N,136°44.7′E,5 km,4.3,震度４
2024/01/12,21:10:23.1,石川県能登地方,37°10.0′N,136°45.0′E,5 km,4.5,震度４
2024/01/09,17:59:11.4,佐渡付近,37°54.6′N,137°45.8′E,27 km,6.1,震度５弱
2024/01/07,21:38:19.4,石川県能登地方,37°10.7′N,136°48.8′E,12 km,4.7,震度４
2024/01/07,15:26:56.7,石川県能登地方,37°12.7′N,136°43.1′E,11 km,4.5,震度４
2024/01/07,14:37:59.2,石川県能登地方,37°27.2′N,137°16.8′E,14 km,4.6,震度４
2024/01/06,23:20:23.0,能登半島沖,37°10.3′N,136°38.7′E,5 km,4.3,震度６弱
2024/01/06,05:26:51.6,石川県能登地方,37°13.0′N,136°49.9′E,12 km,5.4,震度５強
2024/01/06,01:59:05.4,能登半島沖,37°21.7′N,136°43.5′E,12 km,4.6,震度４
2024/01/05,22:09:25.6,石川県能登地方,37°22.0′N,136°57.0′E,14 km,4.3,震度４
2024/01/04,15:56:39.0,能登半島沖,37°08.9′N,136°41.8′E,7 km,3.7,震度４
2024/01/04,15:46:47.1,石川県能登地方,37°30.1′N,137°17.2′E,12 km,4.4,震度４
2024/01/04,00:36:53.8,石川県能登地方,37°27.6′N,137°07.6′E,11 km,4.9,震度４
2024/01/03,18:48:00.7,石川県能登地方,37°19.3′N,136°48.2′E,12 km,4.8,震度４
2024/01/03,12:54:15.0,新潟県上中越沖,37°38.8′N,137°36.4′E,23 km,5.0,震度４
2024/01/03,10:54:35.0,石川県能登地方,37°22.4′N,136°52.3′E,13 km,5.6,震度５強
2024/01/03,06:32:38.5,石川県能登地方,37°10.3′N,136°43.7′E,5 km,4.3,震度４
2024/01/03,02:30:31.4,石川県能登地方,37°29.2′N,137°18.0′E,13 km,4.4,震度４
2024/01/03,02:21:48.0,石川県能登地方,37°28.9′N,137°18.2′E,12 km,4.9,震度５強
2024/01/02,17:13:40.8,能登半島沖,37°08.3′N,136°38.0′E,6 km,4.6,震度５強
2024/01/02,15:57:54.2,石川県能登地方,37°11.9′N,136°41.8′E,6 km,4.5,震度４
2024/01/02,10:17:32.6,石川県能登地方,37°13.3′N,136°43.3′E,10 km,5.6,震度５弱
2024/01/02,09:14:25.0,石川県能登地方,37°26.1′N,137°12.6′E,14 km,4.5,震度４
2024/01/02,09:01:34.6,石川県能登地方,37°23.4′N,136°52.9′E,7 km,4.1,震度４
2024/01/02,07:13:30.3,石川県能登地方,37°19.2′N,136°55.4′E,11 km,4.5,震度４
2024/01/02,04:42:07.4,能登半島沖,37°15.4′N,136°40.6′E,12 km,4.9,震度４
2024/01/02,04:27:14.4,石川県西方沖,37°04.3′N,136°34.5′E,9 km,4.7,震度４
2024/01/02,03:29:38.8,石川県能登地方,37°08.6′N,136°44.6′E,2 km,3.9,震度４
2024/01/02,00:08:35.5,石川県能登地方,37°30.3′N,137°17.7′E,10 km,4.3,震度４
2024/01/01,23:30:36.0,石川県能登地方,37°11.9′N,136°41.4′E,6 km,4.3,震度４
2024/01/01,21:20:45.7,石川県能登地方,37°28.3′N,137°13.3′E,11 km,4.5,震度４
2024/01/01,20:35:40.8,石川県能登地方,37°09.2′N,136°45.4′E,2 km,4.5,震度５弱
2024/01/01,19:50:36.8,石川県能登地方,37°30.7′N,137°16.4′E,12 km,4.6,震度４
2024/01/01,19:27:59.4,石川県能登地方,37°28.0′N,137°13.3′E,10 km,4.5,震度４
2024/01/01,18:56:50.8,石川県能登地方,37°09.0′N,136°45.0′E,0 km,3.3,震度４
2024/01/01,18:39:59.7,能登半島沖,37°06.4′N,136°38.8′E,6 km,4.8,震度５弱
2024/01/01,18:30:22.4,能登半島沖,37°33.1′N,137°22.3′E,12 km,4.9,震度４
2024/01/01,18:23:07.9,石川県能登地方,37°30.1′N,137°17.6′E,9 km,4.5,震度４
2024/01/01,18:08:18.4,能登半島沖,37°34.7′N,137°22.9′E,14 km,5.8,震度５強
2024/01/01,18:03:50.1,能登半島沖,37°35.5′N,137°24.4′E,14 km,5.5,震度５弱
2024/01/01,17:55:18.1,石川県能登地方,37°24.8′N,136°54.1′E,10 km,3.7,震度４
2024/01/01,17:25:41.9,石川県能登地方,37°14.6′N,136°43.1′E,4 km,3.6,震度４
2024/01/01,17:24:59.7,石川県能登地方,37°29.8′N,137°17.6′E,10 km,4.0,震度４
2024/01/01,17:22:11.4,石川県能登地方,37°27.9′N,137°12.3′E,12 km,4.9,震度５弱
2024/01/01,17:21:29.7,石川県能登地方,37°12.5′N,136°42.4′E,8 km,3.7,震度４
2024/01/01,17:17:47.9,石川県能登地方,37°28.0′N,137°09.5′E,12 km,4.7,震度４
2024/01/01,17:07:09.9,能登半島沖,37°06.6′N,136°36.6′E,0 km,5.3,震度４
2024/01/01,17:02:44.7,能登半島沖,37°37.1′N,137°21.1′E,8 km,5.0,震度４
2024/01/01,16:56:48.7,石川県能登地方,37°15.7′N,136°51.4′E,14 km,5.8,震度５強
2024/01/01,16:48:15.3,石川県能登地方,37°15.1′N,136°50.6′E,13 km,4.9,震度４
2024/01/01,16:43:39.4,能登半島沖,37°36.6′N,137°17.2′E,4 km,4.3,震度４
2024/01/01,16:42:43.7,石川県能登地方,37°26.8′N,137°11.4′E,12 km,5.0,震度４
2024/01/01,16:39:50.3,能登半島沖,37°32.9′N,137°26.5′E,13 km,5.2,震度４
2024/01/01,16:30:07.7,石川県能登地方,37°31.4′N,137°18.3′E,7 km,4.1,震度４
2024/01/01,16:29:02.8,能登半島沖,37°30.7′N,137°05.6′E,10 km,4.7,震度４
2024/01/01,16:20:20.0,詳細不明,37°10.0′N,136°41.0′E,0 km,不明,震度５弱
2024/01/01,16:18:42.6,石川県能登地方,37°11.9′N,136°49.1′E,11 km,6.1,震度５強
2024/01/01,16:16:57.9,石川県能登地方,37°25.4′N,137°12.5′E,13 km,5.0,震度５弱
2024/01/01,16:15:36.9,能登半島沖,37°40.2′N,137°25.2′E,20 km,5.1,震度４
2024/01/01,16:14:45.6,佐渡付近,37°50.4′N,137°38.6′E,13 km,4.8,震度４
2024/01/01,16:13:57.3,新潟県上中越沖,37°34.7′N,137°31.2′E,11 km,5.0,震度４
2024/01/01,16:12:30.6,能登半島沖,37°44.2′N,137°24.0′E,8 km,5.9,震度６弱
2024/01/01,16:10:22.5,石川県能登地方,37°29.7′N,137°16.2′E,16 km,7.6,震度７
2024/01/01,16:06:06.1,石川県能登地方,37°30.6′N,137°14.7′E,12 km,5.5,震度５強
2023/11/20,06:01:31.2,青森県東方沖,41°10.0′N,142°17.5′E,52 km,5.9,震度４
2023/11/11,22:02:38.7,トカラ列島近海,29°56.0′N,130°00.4′E,13 km,4.3,震度４
2023/11/11,05:50:30.6,鹿児島湾,31°19.7′N,130°48.2′E,104 km,5.0,震度４
2023/11/06,02:10:08.8,福島県沖,37°49.7′N,141°37.7′E,56 km,5.0,震度４
2023/10/16,19:42:10.9,宮古島近海,25°10.2′N,125°34.9′E,33 km,6.0,震度４
2023/09/19,04:33:04.4,宮城県沖,38°28.3′N,141°37.3′E,57 km,5.6,震度４
2023/09/11,00:01:59.7,トカラ列島近海,29°18.7′N,129°23.3′E,18 km,5.3,震度４
2023/09/09,02:28:51.5,トカラ列島近海,29°19.0′N,129°23.4′E,15 km,4.9,震度４
2023/09/08,18:28:48.8,宮城県沖,38°54.0′N,142°06.0′E,46 km,5.4,震度４
2023/08/11,09:14:34.1,青森県東方沖,41°07.5′N,142°54.7′E,28 km,6.2,震度４
2023/07/22,21:14:27.0,日向灘,32°36.9′N,132°13.6′E,37 km,5.0,震度４
2023/07/22,10:52:28.7,茨城県沖,36°26.4′N,140°41.3′E,52 km,4.8,震度４
2023/06/16,21:24:09.6,千葉県北東部,35°42.3′N,140°42.7′E,49 km,4.9,震度４
2023/06/11,18:54:44.6,苫小牧沖,42°33.5′N,141°54.9′E,136 km,6.2,震度５弱
2023/06/01,11:28:28.7,トカラ列島近海,29°56.2′N,130°00.1′E,11 km,4.3,震度４
2023/05/30,17:49:16.3,能登半島沖,37°30.6′N,137°23.4′E,4 km,4.6,震度４
2023/05/27,22:52:12.3,トカラ列島近海,29°56.6′N,129°58.2′E,12 km,4.6,震度４
